No,Year,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_Group,CreditScore_value,Balance_Value,Tenure_term,Financial_Score,Financial_Profile
73,2025,657,Spain,Female,37,0,163607,1,0,1,44204,0,30-45,Medium,High-Balance,New,1.94,Low Value
74,2025,604,Germany,Female,25,5,157781,2,1,1,58427,0,<30,Low,High-Balance,Mid-Term,2.28,High Value
75,2025,519,France,Male,36,9,0,2,0,1,145562,0,30-45,Low,Zero-Balance,Long-Term,1.74,Low Value
76,2025,735,France,Female,21,1,178718,2,1,0,22388,0,<30,High,High-Balance,New,2.63,High Value
77,2025,664,France,Male,55,8,0,2,1,1,139162,0,46-60,Medium,Zero-Balance,Long-Term,2.17,High Value
78,2025,678,France,Female,32,9,0,1,1,1,148211,0,30-45,Medium,Zero-Balance,Long-Term,1.78,Low Value
79,2025,757,Spain,Male,33,5,77253,1,0,1,194240,0,30-45,High,Low-Balance,Mid-Term,2.49,High Value
80,2025,416,Germany,Female,41,10,122190,2,1,0,98302,0,30-45,Low,High-Balance,Long-Term,1.94,Low Value
81,2025,665,France,Female,34,1,96646,2,0,0,171414,0,30-45,Medium,Low-Balance,New,2.64,High Value
82,2025,777,France,Female,32,2,0,1,1,0,136458,1,30-45,High,Zero-Balance,New,2.02,High Value
83,2025,543,France,Female,36,3,0,2,0,0,26020,0,30-45,Low,Zero-Balance,New,1.19,Low Value
84,2025,506,France,Female,34,4,90308,1,1,1,159235,0,30-45,Low,Low-Balance,Mid-Term,1.58,Low Value
85,2025,493,France,Female,46,4,0,2,1,0,1908,0,46-60,Low,Zero-Balance,Mid-Term,0.98,Low Value
86,2025,652,Spain,Female,75,10,0,2,1,1,114676,0,60+,Medium,Zero-Balance,Long-Term,1.99,High Value
87,2025,750,Spain,Male,22,3,121682,1,1,0,128643,1,<30,High,High-Balance,New,2.44,High Value
88,2025,729,France,Male,30,9,0,2,1,0,151869,0,<30,High,Zero-Balance,Long-Term,2.46,High Value
89,2025,646,France,Female,46,4,0,3,1,0,93251,1,46-60,Medium,Zero-Balance,Mid-Term,2.1,High Value
90,2025,635,Germany,Female,28,3,81624,2,1,1,156791,0,<30,Medium,Low-Balance,New,2.38,High Value
91,2025,647,Spain,Female,44,5,0,3,1,1,174205,1,30-45,Medium,Zero-Balance,Mid-Term,2.51,High Value
92,2025,808,France,Male,45,7,118627,2,1,0,147132,0,30-45,High,High-Balance,Mid-Term,3.09,High Value
93,2025,524,France,Female,36,10,0,2,1,0,109615,0,30-45,Low,Zero-Balance,Long-Term,1.57,Low Value
94,2025,769,France,Male,29,8,0,2,1,1,172291,0,<30,High,Zero-Balance,Long-Term,2.66,High Value
95,2025,730,Spain,Male,42,4,0,2,0,1,85982,0,30-45,High,Zero-Balance,Mid-Term,2.14,High Value
96,2025,515,Spain,Male,35,10,176274,1,0,1,121278,0,30-45,Low,High-Balance,Long-Term,1.93,Low Value
97,2025,773,Spain,Male,41,9,102827,1,0,1,64595,0,30-45,High,High-Balance,Long-Term,2,High Value
98,2025,814,Germany,Male,29,8,97086,2,1,1,197276,0,<30,High,Low-Balance,Long-Term,3.17,High Value
99,2025,710,Spain,Male,22,8,0,2,0,0,99645,0,<30,High,Zero-Balance,Long-Term,2.14,High Value
100,2025,413,France,Male,34,9,0,2,0,0,6534,0,30-45,Low,Zero-Balance,Long-Term,0.96,Low Value
101,2025,665,France,Female,40,6,0,1,1,1,161848,0,30-45,Medium,Zero-Balance,Mid-Term,1.8,Low Value
102,2025,623,France,Female,44,6,0,2,0,0,167162,0,30-45,Medium,Zero-Balance,Mid-Term,2.14,High Value
103,2025,738,France,Male,31,9,82674,1,1,0,41971,0,30-45,High,Low-Balance,Long-Term,1.7,Low Value
104,2025,528,Spain,Male,36,7,0,2,1,0,60537,0,30-45,Low,Zero-Balance,Mid-Term,1.33,Low Value
105,2025,670,Spain,Female,65,1,0,1,1,1,177656,1,60+,Medium,Zero-Balance,New,1.9,Low Value
106,2025,622,Spain,Female,46,4,107073,2,1,1,30985,1,46-60,Medium,High-Balance,Mid-Term,1.85,Low Value
107,2025,582,Germany,Male,32,1,88939,1,1,1,10055,0,30-45,Low,Low-Balance,New,1.01,Low Value
108,2025,785,Germany,Female,36,2,99807,1,0,1,36977,0,30-45,High,High-Balance,New,1.87,Low Value
109,2025,605,Spain,Male,33,5,150093,1,0,0,71863,0,30-45,Low,High-Balance,Mid-Term,1.84,Low Value
110,2025,479,Germany,Male,35,9,92834,1,1,0,99450,1,30-45,Low,Low-Balance,Long-Term,1.26,Low Value
111,2025,685,Germany,Male,30,3,90537,1,0,1,63083,0,<30,Medium,Low-Balance,New,1.66,Low Value
112,2025,538,Germany,Male,39,7,108055,2,1,0,27231,0,30-45,Low,High-Balance,Mid-Term,1.59,Low Value
113,2025,562,France,Male,42,2,100238,1,0,0,86797,0,30-45,Low,High-Balance,New,1.4,Low Value
114,2025,675,Spain,Male,36,9,106191,1,0,1,22994,0,30-45,Medium,High-Balance,Long-Term,1.52,Low Value
115,2025,721,Germany,Male,28,9,154476,2,0,1,101301,1,<30,High,High-Balance,Long-Term,2.93,High Value
116,2025,628,Germany,Female,30,9,132351,2,1,1,74169,0,<30,Medium,High-Balance,Long-Term,2.3,High Value
117,2025,668,Germany,Female,37,6,167864,1,1,0,115638,0,30-45,Medium,High-Balance,Mid-Term,2.36,High Value
118,2025,506,France,Female,41,1,0,2,1,0,31766,0,30-45,Low,Zero-Balance,New,1.15,Low Value
119,2025,524,Germany,Female,31,8,107819,1,1,0,199725,1,30-45,Low,High-Balance,Long-Term,1.94,Low Value
120,2025,699,Germany,Male,34,4,185174,2,1,0,120834,0,30-45,High,High-Balance,Mid-Term,3.02,High Value
121,2025,828,France,Male,34,8,129433,2,0,0,38132,0,30-45,High,High-Balance,Long-Term,2.65,High Value
122,2025,674,Spain,Male,39,6,120193,1,0,0,100131,0,30-45,Medium,High-Balance,Mid-Term,2.02,High Value
123,2025,656,France,Female,39,6,0,2,1,0,141070,0,30-45,Medium,Zero-Balance,Mid-Term,2.14,High Value
124,2025,684,Germany,Female,48,10,126384,1,1,1,198129,0,46-60,Medium,High-Balance,Long-Term,2.61,High Value
125,2025,625,France,Female,28,3,0,1,0,0,183646,0,<30,Medium,Zero-Balance,New,1.75,Low Value
126,2025,432,France,Male,42,9,152603,1,1,0,110265,1,30-45,Low,High-Balance,Long-Term,1.73,Low Value
127,2025,549,France,Female,52,1,0,1,0,1,8636,1,46-60,Low,Zero-Balance,New,0.64,Low Value
128,2025,625,Germany,Male,56,0,148507,1,1,0,46824,1,46-60,Medium,High-Balance,New,1.77,Low Value
129,2025,828,France,Female,41,7,0,2,1,0,171379,0,30-45,High,Zero-Balance,Mid-Term,2.74,High Value
130,2025,770,France,Male,24,9,101827,1,1,0,167256,0,<30,High,High-Balance,Long-Term,2.51,High Value
131,2025,758,France,Female,34,3,0,2,1,1,124226,0,30-45,High,Zero-Balance,New,2.4,High Value
132,2025,795,Germany,Female,33,9,130862,1,1,1,114935,0,30-45,High,High-Balance,Long-Term,2.54,High Value
133,2025,687,France,Male,38,9,122571,1,1,1,35609,0,30-45,Medium,High-Balance,Long-Term,1.78,Low Value
134,2025,686,France,Male,25,1,0,2,0,1,16459,0,<30,Medium,Zero-Balance,New,1.64,Low Value
135,2025,789,Germany,Male,39,7,124828,2,1,1,124411,0,30-45,High,High-Balance,Mid-Term,3.01,High Value
136,2025,589,Germany,Female,50,5,144895,2,1,1,34941,0,46-60,Low,High-Balance,Mid-Term,2.05,High Value
137,2025,461,Germany,Female,34,5,63664,1,0,1,167784,0,30-45,Low,Low-Balance,Mid-Term,1.5,Low Value
138,2025,637,France,Male,40,2,133463,1,0,1,93165,0,30-45,Medium,High-Balance,New,1.96,Low Value
139,2025,584,Spain,Female,48,2,213146,1,1,0,75161,1,46-60,Low,High-Balance,New,1.88,Low Value
140,2025,579,Spain,Female,35,1,129490,2,0,1,8591,1,30-45,Low,High-Balance,New,1.78,Low Value
141,2025,756,Germany,Male,44,10,137452,1,1,0,189544,0,30-45,High,High-Balance,Long-Term,2.88,High Value
142,2025,663,France,Male,34,7,0,2,1,1,180427,0,30-45,Medium,Zero-Balance,Mid-Term,2.37,High Value
143,2025,682,France,Female,43,5,125852,1,1,1,193318,0,30-45,Medium,High-Balance,Mid-Term,2.57,High Value
144,2025,793,Spain,Male,52,2,0,1,1,0,159124,1,46-60,High,Zero-Balance,New,2.16,High Value
145,2025,691,France,Female,31,5,40916,1,1,0,126214,1,30-45,Medium,Low-Balance,Mid-Term,1.91,Low Value
146,2025,485,Spain,Female,21,5,113157,1,1,1,54142,0,<30,Low,High-Balance,Mid-Term,1.19,Low Value
147,2025,635,Spain,Female,29,8,138297,2,1,0,141076,0,<30,Medium,High-Balance,Long-Term,2.71,High Value
148,2025,650,France,Male,37,5,106967,1,0,0,24495,0,30-45,Medium,High-Balance,Mid-Term,1.44,Low Value
149,2025,735,France,Male,44,9,120682,1,1,0,74836,0,30-45,High,High-Balance,Long-Term,2.11,High Value
150,2025,416,France,Male,32,0,0,2,0,1,879,0,30-45,Low,Zero-Balance,New,0.93,Low Value
151,2025,754,Spain,Female,32,7,0,2,1,0,89521,0,30-45,High,Zero-Balance,Mid-Term,2.22,High Value
152,2025,535,France,Female,48,9,0,1,1,0,149893,1,46-60,Low,Zero-Balance,Long-Term,1.32,Low Value
153,2025,716,Spain,Male,42,8,0,2,1,0,180800,0,30-45,High,Zero-Balance,Long-Term,2.57,High Value
154,2025,539,France,Male,37,2,127610,1,1,0,98646,0,30-45,Low,High-Balance,New,1.63,Low Value
155,2025,614,France,Female,43,6,0,2,1,1,109042,0,30-45,Medium,Zero-Balance,Mid-Term,1.82,Low Value
156,2025,706,Spain,Male,57,7,0,1,1,0,17941,1,46-60,High,Zero-Balance,Mid-Term,1.23,Low Value
157,2025,758,France,Female,33,7,0,2,0,0,82996,0,30-45,High,Zero-Balance,Mid-Term,2.19,High Value
158,2025,586,Spain,Female,28,2,0,2,1,1,92067,0,<30,Low,Zero-Balance,New,1.64,Low Value
159,2025,646,France,Female,73,6,97259,1,0,1,104720,0,60+,Medium,High-Balance,Mid-Term,1.76,Low Value
160,2025,631,Germany,Female,33,4,123247,1,0,0,112688,0,30-45,Medium,High-Balance,Mid-Term,1.95,Low Value
161,2025,717,Spain,Female,22,6,101060,1,0,1,84700,0,<30,High,High-Balance,Mid-Term,1.95,Low Value
162,2025,684,France,Male,30,2,0,2,1,0,83474,0,<30,Medium,Zero-Balance,New,1.96,Low Value
163,2025,800,France,Female,49,7,108007,1,0,0,47125,0,46-60,High,High-Balance,Mid-Term,2,High Value
164,2025,721,Spain,Female,36,2,0,2,1,1,106978,0,30-45,High,Zero-Balance,New,2.22,High Value
165,2025,683,Spain,Male,29,0,133703,1,1,0,55583,1,<30,Medium,High-Balance,New,1.95,Low Value
166,2025,660,Germany,Male,31,9,125190,2,1,1,139874,0,30-45,Medium,High-Balance,Long-Term,2.7,High Value
167,2025,704,Germany,Female,24,7,113034,1,1,0,162503,1,<30,High,High-Balance,Mid-Term,2.39,High Value
168,2025,615,Spain,Female,41,9,109013,1,1,0,196500,0,30-45,Medium,High-Balance,Long-Term,2.18,High Value
169,2025,667,Spain,Female,39,2,0,2,1,0,40721,1,30-45,Medium,Zero-Balance,New,1.68,Low Value
170,2025,682,Germany,Male,24,9,57930,2,0,0,53134,0,<30,Medium,Low-Balance,Long-Term,1.99,High Value
171,2025,484,France,Female,29,4,130114,1,1,0,164018,0,<30,Low,High-Balance,Mid-Term,1.89,Low Value
172,2025,628,Germany,Male,27,5,95826,2,1,0,155997,0,<30,Medium,Low-Balance,Mid-Term,2.41,High Value
173,2025,480,Germany,Male,44,10,129609,1,1,0,5473,1,30-45,Low,High-Balance,Long-Term,1.09,Low Value
174,2025,578,France,Male,30,4,169462,1,1,0,112187,0,<30,Low,High-Balance,Mid-Term,2.01,High Value
175,2025,512,France,Male,40,5,0,2,1,1,146458,0,30-45,Low,Zero-Balance,Mid-Term,1.74,Low Value
176,2025,484,Spain,Female,35,7,133868,1,1,1,27286,0,30-45,Low,High-Balance,Mid-Term,1.23,Low Value
177,2025,510,France,Female,30,0,0,2,1,1,130553,0,<30,Low,Zero-Balance,New,1.65,Low Value
178,2025,606,Germany,Male,36,5,190479,2,0,0,179352,0,30-45,Low,High-Balance,Mid-Term,2.96,High Value
179,2025,597,Spain,Female,40,8,101993,1,0,1,94774,0,30-45,Low,High-Balance,Long-Term,1.56,Low Value
180,2025,754,Germany,Female,55,3,161609,1,1,0,8081,1,46-60,High,High-Balance,New,2.09,High Value
181,2025,850,Spain,Female,45,2,122311,1,1,1,19482,0,30-45,High,High-Balance,New,2.04,High Value
182,2025,510,France,Male,65,2,0,2,1,1,48072,0,60+,Low,Zero-Balance,New,1.23,Low Value
183,2025,778,Germany,Female,45,1,162150,2,1,0,174531,0,30-45,High,High-Balance,New,3.46,High Value
184,2025,636,France,Male,42,2,0,2,1,1,55471,0,30-45,Medium,Zero-Balance,New,1.63,Low Value
185,2025,804,France,Female,50,4,0,1,1,1,8547,1,46-60,High,Zero-Balance,Mid-Term,1.42,Low Value
186,2025,514,France,Male,32,8,0,2,1,0,95857,0,30-45,Low,Zero-Balance,Long-Term,1.49,Low Value
187,2025,730,France,Female,39,1,99011,1,1,0,194946,0,30-45,High,High-Balance,New,2.53,High Value
188,2025,525,Spain,Female,37,0,0,1,0,1,131522,0,30-45,Low,Zero-Balance,New,1.2,Low Value
189,2025,616,Spain,Male,30,5,0,2,0,1,196109,0,<30,Medium,Zero-Balance,Mid-Term,2.26,High Value
190,2025,687,Germany,Female,34,7,111388,2,1,0,148565,0,30-45,Medium,High-Balance,Mid-Term,2.74,High Value
191,2025,715,France,Female,41,8,56215,2,0,0,92983,1,30-45,High,Low-Balance,Long-Term,2.32,High Value
192,2025,512,France,Female,36,3,84328,2,1,0,17675,0,30-45,Low,Low-Balance,New,1.35,Low Value
193,2025,479,France,Male,40,1,0,2,0,0,114996,0,30-45,Low,Zero-Balance,New,1.53,Low Value
194,2025,601,France,Male,32,8,93013,1,1,0,86957,0,30-45,Low,Low-Balance,Long-Term,1.47,Low Value
195,2025,580,Spain,Male,29,9,61710,2,1,0,128078,0,<30,Low,Low-Balance,Long-Term,2,High Value
196,2025,807,France,Male,35,3,174790,1,1,1,600,0,30-45,High,High-Balance,New,2.18,High Value
197,2025,616,Spain,Female,32,6,0,2,1,1,43001,0,30-45,Medium,Zero-Balance,Mid-Term,1.49,Low Value
198,2025,721,Germany,Male,37,3,107721,1,1,1,158591,0,30-45,High,High-Balance,New,2.39,High Value
199,2025,501,France,Male,57,10,0,2,1,1,47847,0,46-60,Low,Zero-Balance,Long-Term,1.22,Low Value
200,2025,521,France,Male,35,6,96424,1,1,0,10488,0,30-45,Low,Low-Balance,Mid-Term,0.9,Low Value
201,2025,850,Spain,Male,30,2,141040,1,1,1,5978,0,<30,High,High-Balance,New,2.12,High Value
202,2025,759,France,Male,42,4,105420,1,0,1,121409,0,30-45,High,High-Balance,Mid-Term,2.29,High Value
203,2025,516,Spain,Male,50,5,0,1,0,1,146146,1,46-60,Low,Zero-Balance,Mid-Term,1.26,Low Value
204,2025,711,France,Female,38,2,129022,2,1,1,14375,1,30-45,High,High-Balance,New,2.3,High Value
205,2025,512,Spain,Male,33,3,176667,1,1,0,94671,0,30-45,Low,High-Balance,New,1.79,Low Value
206,2025,550,France,Male,37,3,0,1,1,1,179670,0,30-45,Low,Zero-Balance,New,1.5,Low Value
207,2025,608,Spain,Female,41,3,89764,1,0,0,199305,1,30-45,Low,Low-Balance,New,2.04,High Value
208,2025,618,France,Male,34,5,134955,1,1,1,151954,0,30-45,Medium,High-Balance,Mid-Term,2.19,High Value
209,2025,643,France,Male,45,5,0,1,1,0,142514,1,30-45,Medium,Zero-Balance,Mid-Term,1.61,Low Value
210,2025,671,France,Male,45,2,106377,1,0,1,158265,0,30-45,Medium,High-Balance,New,2.19,High Value
211,2025,689,Germany,Male,33,2,161815,2,1,0,169382,0,30-45,Medium,High-Balance,New,3.18,High Value
212,2025,603,France,Male,31,8,0,2,1,1,169915,0,30-45,Low,Zero-Balance,Long-Term,2.08,High Value
213,2025,620,France,Female,41,9,0,2,0,0,88852,0,30-45,Medium,Zero-Balance,Long-Term,1.74,Low Value
214,2025,676,France,Female,34,1,63095,1,1,1,40646,0,30-45,Medium,Low-Balance,New,1.43,Low Value
215,2025,572,Germany,Male,26,4,118287,2,0,0,60427,0,<30,Low,High-Balance,Mid-Term,1.92,Low Value
216,2025,668,Germany,Male,47,7,106854,1,0,1,157959,1,46-60,Medium,High-Balance,Mid-Term,2.18,High Value
217,2025,695,France,Male,46,7,49513,1,1,0,133007,0,46-60,Medium,Low-Balance,Mid-Term,1.96,Low Value
218,2025,730,Spain,Female,33,9,0,2,0,0,176577,0,30-45,High,Zero-Balance,Long-Term,2.59,High Value
219,2025,807,France,Male,43,1,105799,2,1,0,34888,1,30-45,High,High-Balance,New,2.42,High Value
220,2025,592,France,Male,54,8,0,1,1,1,28738,1,46-60,Low,Zero-Balance,Long-Term,0.86,Low Value
221,2025,726,France,Female,31,9,114722,2,1,1,98179,0,30-45,High,High-Balance,Long-Term,2.64,High Value
222,2025,514,Spain,Male,30,7,0,1,0,1,125010,0,<30,Low,Zero-Balance,Mid-Term,1.15,Low Value
223,2025,567,France,Male,42,2,0,2,1,1,167985,0,30-45,Low,Zero-Balance,New,1.96,Low Value
224,2025,850,France,Male,33,10,0,1,1,0,4862,1,30-45,High,Zero-Balance,Long-Term,1.45,Low Value
225,2025,671,Germany,Male,45,6,99564,1,1,1,108872,1,30-45,Medium,High-Balance,Mid-Term,1.89,Low Value
226,2025,670,France,Male,37,4,170558,2,1,0,198253,0,30-45,Medium,High-Balance,Mid-Term,3.27,High Value
227,2025,694,France,Female,30,9,0,2,1,1,26960,0,<30,Medium,Zero-Balance,Long-Term,1.72,Low Value
228,2025,547,Germany,Female,39,6,74596,3,1,1,85747,1,30-45,Low,Low-Balance,Mid-Term,1.97,Low Value
229,2025,751,Germany,Male,50,2,96888,1,1,0,77206,1,46-60,High,Low-Balance,New,1.98,Low Value
230,2025,594,Germany,Female,29,3,130830,1,1,0,61049,0,<30,Low,High-Balance,New,1.62,Low Value
231,2025,673,France,Male,72,1,0,2,0,1,111981,0,60+,Medium,Zero-Balance,New,2.06,High Value
232,2025,610,France,Male,40,0,0,2,1,0,62233,0,30-45,Medium,Zero-Balance,New,1.57,Low Value
233,2025,512,France,Female,37,1,0,2,0,1,156105,0,30-45,Low,Zero-Balance,New,1.78,Low Value
234,2025,767,Germany,Male,20,3,119714,2,0,1,150135,0,<30,High,High-Balance,New,3.05,High Value
235,2025,585,France,Female,67,5,113979,2,0,1,93146,0,60+,Low,High-Balance,Mid-Term,2.09,High Value
236,2025,763,Germany,Male,42,6,100161,1,1,0,33463,1,30-45,High,High-Balance,Mid-Term,1.81,Low Value
237,2025,712,France,Female,29,2,0,1,1,1,144375,0,<30,High,Zero-Balance,New,1.89,Low Value
238,2025,539,Germany,Female,43,3,116220,3,1,0,55804,1,30-45,Low,High-Balance,New,2.04,High Value
